type	starttime_new	endtime_new	vild_primair_wegnummer	primaire_locatie_lengtegraad	primaire_locatie_breedtegraad	duration
vehicle_obstruction	1-10-2019 00:03	1-10-2019 01:03	A16	4.616899014	51.83779144	60.7
vehicle_obstruction	1-10-2019 00:14	1-10-2019 00:25	A16	4.588448048	51.86344147	11.36666667
vehicle_obstruction	1-10-2019 00:24	1-10-2019 01:59	N345	6.052498	52.19694	94.51666667
vehicle_obstruction	1-10-2019 00:24	1-10-2019 02:10	A1	6.339723	52.24462	106.0166667
vehicle_obstruction	1-10-2019 00:39	1-10-2019 00:42	A9	4.720518112	52.36727905	3.533333333
vehicle_obstruction	1-10-2019 00:39	1-10-2019 01:55	A22	4.65743494	52.45429993	75.93333333
vehicle_obstruction	1-10-2019 00:40	1-10-2019 00:43	A15	4.54054	51.86385	2.5
vehicle_obstruction	1-10-2019 00:47	1-10-2019 01:03	A16	4.597579956	51.85660172	15.75
general_obstruction	1-10-2019 00:51	1-10-2019 01:54	N18	6.445826054	51.94923019	63.71666667
vehicle_obstruction	1-10-2019 00:57	1-10-2019 01:16	A15	4.551288	51.86753	19.01666667
vehicle_obstruction	1-10-2019 00:57	1-10-2019 01:16	A16	4.538953	51.90903	19.03333333
accident	1-10-2019 01:47	1-10-2019 02:52	N210	4.807352066	51.93677902	65.36666667
vehicle_obstruction	1-10-2019 01:52	1-10-2019 02:08	A15	4.551287	51.8675	16
accident	1-10-2019 02:36	1-10-2019 03:52	N206	4.418974876	52.1979599	75.88333333
vehicle_obstruction	1-10-2019 02:38	1-10-2019 02:52	A16	4.554825	51.89588	14.01666667
vehicle_obstruction	1-10-2019 02:38	1-10-2019 02:53	A16	4.536227	51.92171	15
vehicle_obstruction	1-10-2019 02:40	1-10-2019 03:16	A1	6.168728	52.23187	36.03333333
vehicle_obstruction	1-10-2019 02:46	1-10-2019 02:55	A1	6.104987	52.21286	8.533333333
vehicle_obstruction	1-10-2019 03:02	1-10-2019 03:39	A1	6.057103157	52.20056915	37.53333333
vehicle_obstruction	1-10-2019 03:07	1-10-2019 03:38	A16	4.706191063	51.62604141	31.33333333
general_obstruction	1-10-2019 03:22	1-10-2019 04:38		4.49447298	51.90756989	75.86666667
vehicle_obstruction	1-10-2019 03:53	1-10-2019 04:43	A4	4.31331	51.44272	49.51666667
accident	1-10-2019 03:59	1-10-2019 05:15	A4	4.652604103	52.23648834	76.01666667
general_obstruction	1-10-2019 04:05	1-10-2019 06:50	A4	4.279135214	51.43322493	165.1333333
vehicle_obstruction	1-10-2019 04:14	1-10-2019 04:39	A44	4.65376997	52.2374382	25.2
vehicle_obstruction	1-10-2019 04:14	1-10-2019 05:29	A30	5.612236023	52.02896881	75.18333333
accident	1-10-2019 04:17	1-10-2019 05:06	A10	4.858314037	52.40864944	49.11666667
vehicle_obstruction	1-10-2019 04:18	1-10-2019 04:19	A8	4.868573189	52.43009949	1.483333333
vehicle_obstruction	1-10-2019 04:32	1-10-2019 04:48	A28	5.553495	52.29837	16
general_obstruction	1-10-2019 04:36	1-10-2019 05:18	A28	5.208122534	52.09687032	41.53333333
vehicle_obstruction	1-10-2019 04:37	1-10-2019 06:54	A4	4.284972	51.43305	137
vehicle_obstruction	1-10-2019 04:43	1-10-2019 04:46	A67	5.331837177	51.37625885	2.5
vehicle_obstruction	1-10-2019 04:47	1-10-2019 04:52	A58	3.947218	51.47358	5.016666667
accident	1-10-2019 04:48	1-10-2019 07:54	A256	3.870707035	51.48188782	186.25
vehicle_obstruction	1-10-2019 04:49	1-10-2019 04:49	A4	4.37904501	51.62023926	0.516666667
vehicle_obstruction	1-10-2019 04:53	1-10-2019 05:19	A28	5.208350182	52.09698868	26.03333333
vehicle_obstruction	1-10-2019 04:56	1-10-2019 04:56	A28	5.54433012	52.28070831	0.133333333
vehicle_obstruction	1-10-2019 05:05	1-10-2019 06:20	A12	5.028162003	52.07304001	75.55
vehicle_obstruction	1-10-2019 05:08	1-10-2019 06:01	A256	3.874118	51.4802	52.53333333
vehicle_obstruction	1-10-2019 05:26	1-10-2019 06:42	A1	5.923882008	52.18095016	75.71666667
