Point_Index,DutchRD_X,DutchRD_Y
8,115246.4257246435,426079.3796400622
13,133304.68012548905,453085.60996817873
20,104721.01234285955,472450.5513176368
39,156937.61202571797,463548.6114872869
55,183009.36633149072,333847.805320035
69,243739.00766549367,481507.99959072645
80,157585.34499111486,464890.5749301295
88,118485.65296152474,490574.49420528905
100,117635.12445481797,396606.5526226801
101,110451.99849629682,455796.6995668919
149,124729.08481691561,428053.81083059567
153,174505.49125881444,517584.5914444004
177,198274.06107128283,499980.99270543485
190,206312.30974734543,375528.84470620874
200,133816.22411407426,452943.27606289193
208,138430.2048116007,479870.8247395977
217,195659.99922230115,443742.9994999523
236,138068.28711618177,451712.12533676
238,138212.60912407128,451088.32135400636
249,161135.89486296015,397651.25380552135
261,109643.24095085883,524016.3745038707
262,138615.00008074418,455605.99949012423
263,167629.3386916365,379988.9006618746
277,167177.29464215346,562380.8739541406
286,109000.77331181042,502817.0138986999
307,86788.87618552522,432080.65299285576
323,233699.4913573608,554257.6354603135
329,202034.10367518046,363482.6369000673
331,171688.99943204474,367780.00008969987
365,209648.96013878597,521744.6458885379
368,85285.40529450093,453236.9116396249
390,121791.4253159102,453761.43272029236
392,157688.7969469086,389616.597178547
412,139533.8552753357,412264.77044696454
416,33407.8815059244,388875.01305698353
422,99376.79744037752,432772.54475971253
426,113449.8190557439,482071.22212512855
432,159773.1541545105,577446.6094334533
444,249896.38186545644,478746.59139868355
448,145520.56192998897,473884.95168748905
460,96569.29249894913,436203.9226280026
461,183856.98018962156,552414.212286469
474,150197.81304352707,409071.6959546238
479,130393.9985841915,539545.0017591679
496,180357.10168574177,436139.57124228304
524,195142.76053030018,320595.35584689566
525,187087.69584076697,415903.0363654307
551,89400.34547775696,438278.2979685817
558,162864.35745298094,563769.3195448975
559,181078.24976635966,523463.71174770704
564,109956.35813010993,478008.87308026233
568,163234.9357536532,378796.8029672234
604,221089.41237702337,577936.627666066
610,88188.39833185547,440585.1930636495
619,105463.87525543946,448787.31545340526
620,105955.00268655833,429308.0001501298
622,181102.36475469396,442610.0051953588
627,157789.8219047363,379451.369659726
636,91312.48202903713,451621.6265052049
646,185226.99974801816,448778.99979120196
651,143259.99607134436,452402.0663369196
671,205118.26913040428,568971.6329262116
729,205241.19982682186,534812.4739949269
733,85778.44309976796,391456.4716267644
738,197718.97303502986,544023.5444640513
749,119979.09393247505,493427.4552361131
754,160530.86185629843,391611.20398567803
777,116653.68742334985,453377.93737678125
778,138425.06320902798,439450.05438429315
797,120282.70268892919,411063.82245542697
801,173503.99973103686,422023.99943822
802,94850.14735338812,461683.3009041911
823,129108.30199635224,515017.8381336698
825,108771.99829423983,488785.9999333133
856,122752.8464979189,482114.17710113345
857,96584.20715305753,405536.13157289696
861,145877.8711457285,426869.1866531835
864,83177.4929354399,437454.25840534194
891,149969.19287221314,488948.4280199879
899,64335.02362810015,408674.00027474895
921,128067.71561277041,483197.2275841949
939,91024.01100411949,393376.99987901724
943,159100.0300276247,469609.9310806798
951,208580.04236108603,434748.22000731144
961,172566.46715865278,483356.90032751433
975,173489.97489631566,447355.36864373967
984,162092.84094493883,498586.8265476614
1003,120113.60870565592,411020.0680186303
1017,87803.2779088579,432105.78692190803
1029,103971.98937618399,412734.09436485264
1049,167028.6260416151,461987.6434318233
1051,127577.54695097986,465572.2232447416
1064,193447.97489282134,408432.9758098826
1111,71547.98497816845,438054.1229405299
1119,124493.5744841582,483462.91076916107
1120,202465.22151752486,439766.24775174
1132,181017.72383131197,547266.3527361986
1137,227362.89851710066,525038.905200284
1145,84036.48909162318,450182.80530806957
1156,183094.28239554205,330397.32842990983
1167,130561.06285201808,525750.1597621867
1224,100241.35256331932,430320.5116956719
1235,169492.2127233047,407068.2017761948
1236,60392.03685462161,386647.0008235684
1254,77763.42542373901,382637.4429281897
1259,170082.9125308379,369495.6353260324
1274,103861.9687257871,420683.3224378824
1275,170395.22912550063,482539.42130720115
1293,199220.5143976406,467355.90625254594
1301,180969.67074813842,381021.1340721532
1310,181008.25872915736,439668.2452262383
1313,131481.20982037348,394538.3548194121
1320,161452.10796692324,435801.05474917206
1337,195133.79023536496,465206.563297832
1350,166739.6060048825,464309.6224402805
1354,187733.84839920292,346345.3556867879
1366,82956.86012828196,450448.65616858285
1367,110380.54319789814,390285.46267586603
1371,199772.0292335878,357773.6048480679
1394,182054.01987666538,574509.1182022823
