distance,RPE_CODE,first_point_x,first_point_y,last_point_x,last_point_y,split_count,merge_count_end,merge_count_start,directions_x,directions_y
225.0,R,117613.756,426301.388,117836.772,426330.494,1,1,0,[117836.772],[426330.494]
209.0,R,231708.389,525975.794,231916.922,525977.286,1,2,1,[231916.922],[525977.286]
125.0,R,199413.841,563825.915,199489.53,563924.292,1,1,1,[199489.53],[563924.292]
350.0,L,90581.131,396850.172,90742.202,397156.828,1,1,1,[90742.202],[397156.828]
149.0,L,102810.117,471704.421,102945.0,471666.0,0,1,1,[],[]
126.0,R,199588.966,355208.291,199665.357,355307.629,1,2,1,[199665.357],[355307.629]
20.0,R,31396.772,396473.886,31398.781,396456.769,2,2,2,"[31398.781, 31398.781]","[396456.769, 396456.769]"
468.0,L,180318.022,531393.771,180378.0,530930.0,1,1,1,[180378.0],[530930.0]
189.0,R,91374.0,439262.0,91521.671,439378.174,1,1,0,[91521.671],[439378.174]
91.0,R,171113.07,482420.0,171203.316,482428.903,1,2,1,[171203.316],[482428.903]
107.0,R,181489.323,436391.675,181485.807,436497.075,1,2,1,[181485.807],[436497.075000003]
525.0,L,181058.818,439289.277,181136.449,438769.683,1,1,2,[181136.449],[438769.683]
132.0,R,192277.461,449975.249,192321.261,450099.837,1,2,1,[192321.261],[450099.837]
375.0,R,33195.327,392691.315,33234.539,392319.29,1,2,1,[33234.539],[392319.29]
169.0,R,201513.646,502647.47,201618.191,502779.473,1,2,1,[201618.191],[502779.4730000021]
376.0,L,85577.895,459025.251,85834.872,459292.877,2,2,2,"[85834.872, 85834.872]","[459292.877, 459292.877]"
60.0,R,97572.992,431302.741,97621.236,431338.332,1,1,1,[97621.236],[431338.332]
133.0,L,36376.912,391201.069,36463.972,391299.198,1,2,1,[36463.972],[391299.198]
631.0,R,195011.017,495848.543,195197.497,496451.73,1,1,1,[195197.497],[496451.73]
178.0,R,174305.423,559446.68,174469.589,559382.279,0,1,1,[],[]
24.0,R,196586.0,376583.0,196609.996,376583.585,1,1,0,[196609.996],[376583.585]
100.0,R,197254.092,473841.439,197235.236,473938.25,1,1,1,[197235.236],[473938.25]
59.0,R,181498.547,380916.604,181557.326,380913.108,1,2,1,[181557.326],[380913.108]
35.0,R,41713.116,412780.89,41682.336,412774.068,1,1,2,[41682.336],[412774.068]
123.0,L,202163.071,385134.807,202201.85,385018.074,1,1,1,[202201.85],[385018.074]
1268.0,R,194806.0,376683.0,196071.357,376643.94,2,1,1,"[196071.357, 196071.357]","[376643.94, 376643.94]"
419.0,R,245897.612,527107.092,246264.332,527306.177,1,1,0,[246264.332],[527306.177]
256.0,R,172584.0,483234.0,172757.664,483419.578,1,1,0,[172757.664],[483419.578]
413.0,L,182817.19,333111.497,182968.0,333493.0,0,1,1,[],[]
733.0,#,61337.185,408222.842,61969.0,408480.0,1,1,1,[61969.0],[408480.0]
47.0,R,204691.42,569417.757,204729.624,569389.725,1,2,1,[204729.624],[569389.725]
11.0,R,147311.967,476987.873,147319.513,476995.342,1,1,1,[147319.513],[476995.342]
614.0,R,229019.184,540137.54,229293.344,540686.443,1,1,1,[229293.344],[540686.443]
