,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,110,247,2246341.595547376,327.40201392593343,5.456700232098891
1,2019-08-12,110,448,5164805.179663509,415.02898765153196,6.917149794192199
2,2019-08-15,110,571,5851963.261326415,368.9503982622609,6.149173304371015
3,2019-08-16,110,576,6075268.443689476,379.70427773059225,6.328404628843204
4,2019-08-29,110,736,9081853.088530855,444.22107498248755,7.403684583041459
5,2019-09-04,110,523,4903866.792667216,337.551060298317,5.62585100497195
6,2019-09-19,110,572,5885096.713045635,370.3907022196554,6.17317837032759
7,2019-09-20,110,745,8925341.095177418,431.29165023676114,7.188194170612686
8,2019-10-01,110,906,18130905.43031595,720.4333283569251,12.007222139282085
9,2019-10-08,110,676,8207777.220922692,437.10056206097175,7.2850093676828624
10,2019-10-09,110,592,5908314.270745442,359.2893813291148,5.988156355485247
11,2019-10-22,110,570,6045206.42367604,381.80251096901304,6.363375182816884
12,2019-11-05,110,607,6314132.313798691,374.479016963349,6.24131694938915
13,2019-11-07,110,405,4185618.6004194007,372.0549867039467,6.200916445065778
14,2019-11-14,110,591,5756651.082277582,350.65894917426897,5.8443158195711495
15,2019-11-19,110,630,7124788.734358696,407.13078482049696,6.785513080341616
16,2019-11-22,110,486,4808861.224232947,356.21194253577386,5.936865708929564
17,2019-12-06,110,711,8775692.208711842,444.33884601072623,7.405647433512104
18,2019-12-26,110,328,2916134.032063635,320.06349132405745,5.334391522067624
19,2019-12-30,110,566,6002475.212343141,381.78287569673694,6.363047928278949
