,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,100,247,3790220.9927880988,552.4208734427998,9.207014557379997
1,2019-08-12,100,443,7215104.492005612,586.3290332103883,9.77215055350647
2,2019-08-15,100,567,8140471.319406228,516.8553218670621,8.614255364451035
3,2019-08-16,100,570,8676637.849505031,547.9981799687388,9.13330299947898
4,2019-08-29,100,730,1012081859.9598967,49910.88624459765,831.8481040766275
5,2019-09-04,100,520,6806677.827882445,471.2315419303231,7.853859032172052
6,2019-09-19,100,568,8194502.546482664,519.3698797066477,8.656164661777462
7,2019-09-20,100,739,11956175.295785101,582.4388506742405,9.707314177904008
8,2019-10-01,100,895,14511789.225167919,583.7144269341286,9.728573782235477
9,2019-10-08,100,667,8262351.421260463,445.94400474569215,7.43240007909487
10,2019-10-09,100,586,7736735.307140211,475.29431920997877,7.921571986832979
11,2019-10-22,100,567,8113281.708317741,515.1289973535074,8.585483289225124
12,2019-11-05,100,606,9202467.866795966,546.6812594136218,9.111354323560363
13,2019-11-07,100,403,5855523.228906431,523.0740353365547,8.717900588942578
14,2019-11-14,100,588,7432731.941234457,455.0652208919055,7.5844203481984245
15,2019-11-19,100,623,9428431.246145321,544.821067192988,9.080351119883135
16,2019-11-22,100,478,2006959789.7943406,151151.78333179135,2519.196388863189
17,2019-12-06,100,703,2011223427.3399165,102992.94933746371,1716.549155624395
18,2019-12-26,100,326,4468116.9783632895,493.4116908622038,8.22352818103673
19,2019-12-30,100,550,9431998.760503802,617.3671915966125,10.289453193276875
