,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,120,248,2178532.7246899973,316.2386213259673,5.270643688766122
1,2019-08-12,120,450,4187914.049639285,335.03312397114286,5.583885399519048
2,2019-08-15,120,571,5252776.374106847,331.1732915373844,5.519554858956407
3,2019-08-16,120,578,5936650.326792642,369.75676775871125,6.162612795978521
4,2019-08-29,120,736,8677530.849410586,424.44444372117,7.0740740620195
5,2019-09-04,120,523,4613162.792667216,317.54084232508563,5.292347372084761
6,2019-09-19,120,572,5441683.417445916,342.4835717273653,5.708059528789422
7,2019-09-20,120,747,8199708.009430703,395.16665105690134,6.586110850948356
8,2019-10-01,120,908,17258799.94421659,684.269601312552,11.404493355209201
9,2019-10-08,120,676,7885119.220922692,419.9175916467706,6.998626527446176
10,2019-10-09,120,596,5704389.0987678915,344.5604153618189,5.7426735893636485
11,2019-10-22,120,571,5724909.929197547,360.94003056236727,6.015667176039455
12,2019-11-05,120,607,6121265.313798689,363.04044694687445,6.0506741157812405
13,2019-11-07,120,407,3797867.4417448635,335.9293068865236,5.5988217814420596
14,2019-11-14,120,592,5581656.109948047,339.4250337130569,5.657083895217615
15,2019-11-19,120,632,6582997.322455259,374.98086013985653,6.249681002330942
16,2019-11-22,120,486,4577812.5667827455,339.09722716909226,5.651620452818205
17,2019-12-06,120,713,8293159.221402805,418.7289368450224,6.9788156140837065
18,2019-12-26,120,328,2779202.032063635,305.034369372838,5.083906156213967
19,2019-12-30,120,567,5635185.147192988,357.7895331551103,5.963158885918505
