,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,110,248,2509760.852285076,364.32012371880137,6.072002061980023
1,2019-08-12,110,450,4515497.268691661,361.23978149533286,6.020663024922214
2,2019-08-15,110,569,6356796.4755874695,402.1874747296115,6.703124578826858
3,2019-08-16,110,576,6705822.940139491,419.1139337587182,6.98523222931197
4,2019-08-29,110,735,10883172.272051774,533.0533357739644,8.884222262899407
5,2019-09-04,110,522,5440198.834067495,375.1861264874134,6.2531021081235565
6,2019-09-19,110,572,6383688.055859407,401.7705769422005,6.696176282370008
7,2019-09-20,110,746,10281369.8932311,496.1518983328681,8.269198305547802
8,2019-10-01,110,906,23890096.442384973,949.2753553265552,15.821255922109254
9,2019-10-08,110,677,9487417.261889119,504.5007702038527,8.408346170064211
10,2019-10-09,110,593,6837743.311709489,415.107519766512,6.918458662775199
11,2019-10-22,110,570,6405579.856868094,404.56293832851117,6.742715638808519
12,2019-11-05,110,606,7272066.263678568,432.00393645615253,7.200065607602542
13,2019-11-07,110,406,4165404.175274492,369.34618302926526,6.1557697171544214
14,2019-11-14,110,592,6528586.702810891,397.0086508466082,6.61681084744347
15,2019-11-19,110,633,8176205.643407989,464.99747735021737,7.7499579558369565
16,2019-11-22,110,484,5172364.263155554,384.72130882975193,6.412021813829199
17,2019-12-06,110,711,10352897.378241595,524.1973356071693,8.736622260119487
18,2019-12-26,110,328,3306922.7786348686,362.95493911846114,6.049248985307686
19,2019-12-30,110,563,6351086.988031643,406.1085818279559,6.768476363799265
