,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,120,247,3464544.2557980316,504.95381865882246,8.41589697764704
1,2019-08-12,120,447,6178133.0763758505,497.567764540337,8.292796075672284
2,2019-08-15,120,570,6742439.266962681,425.8382694923798,7.0973044915396635
3,2019-08-16,120,572,7332942.730019735,461.5138781131302,7.69189796855217
4,2019-08-29,120,733,10299031.40115996,505.81873184414536,8.430312197402422
5,2019-09-04,120,521,6036794.517758426,417.1297555456878,6.952162592428129
6,2019-09-19,120,568,6981835.997779489,442.51073225362956,7.3751788708938255
7,2019-09-20,120,740,10212817.802973373,496.8397850095155,8.280663083491925
8,2019-10-01,120,900,12080237.966269005,483.2095186507602,8.05349197751267
9,2019-10-08,120,668,7049403.846915758,379.90799174995107,6.331799862499184
10,2019-10-09,120,589,7199341.563578486,440.02766772296354,7.333794462049393
11,2019-10-22,120,569,7114928.246284065,450.1536324538248,7.50256054089708
12,2019-11-05,120,607,8443612.100769883,500.77435853000947,8.346239308833491
13,2019-11-07,120,404,5119090.085389646,456.15654226244374,7.602609037707396
14,2019-11-14,120,590,6696955.515959817,408.6277941941583,6.810463236569305
15,2019-11-19,120,624,8287987.410780693,478.15311985273235,7.969218664212206
16,2019-11-22,120,480,6137036.156226153,460.27771171696156,7.671295195282693
17,2019-12-06,120,707,9016022.435051618,459.090251289757,7.651504188162617
18,2019-12-26,120,326,4200936.420619597,463.9070893935751,7.731784823226252
19,2019-12-30,120,555,8109799.128455291,526.0410245484513,8.767350409140855
