,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,100,247,2539003.5955473757,370.0572042093341,6.167620070155568
1,2019-08-12,100,448,5805971.435343203,466.55127605436456,7.775854600906076
2,2019-08-15,100,571,6593561.39847224,415.70614771453705,6.928435795242284
3,2019-08-16,100,576,6834941.155408613,427.1838222130383,7.119730370217305
4,2019-08-29,100,736,11236881.668515204,549.6300816121568,9.160501360202613
5,2019-09-04,100,523,5733084.847749834,394.6291673403327,6.577152789005544
6,2019-09-19,100,572,6816867.398366808,429.0336124846243,7.150560208077072
7,2019-09-20,100,745,10731073.398561902,518.5485132190986,8.64247522031831
8,2019-10-01,100,906,23232026.16750504,923.1268675829817,15.385447793049696
9,2019-10-08,100,676,9814380.495026497,522.6593163031862,8.710988605053103
10,2019-10-09,100,592,6725028.124998301,408.9544130066534,6.815906883444224
11,2019-10-22,100,570,6986526.726459898,441.25431956588835,7.354238659431473
12,2019-11-05,100,607,7220195.642229902,428.21588652434343,7.136931442072391
13,2019-11-07,100,405,4493048.6004194,399.3820978150578,6.6563682969176305
14,2019-11-14,100,591,6785471.876881782,413.3282361552354,6.88880393592059
15,2019-11-19,100,630,8429135.061136354,481.6648606363631,8.027747677272718
16,2019-11-22,100,486,5234794.779054163,387.7625762262343,6.462709603770572
17,2019-12-06,100,711,10629230.96127263,538.1889094315255,8.969815157192093
18,2019-12-26,100,328,3197597.39406266,350.9558115434627,5.849263525724378
19,2019-12-30,100,566,6617642.4623337155,420.9101212791762,7.015168687986271
