,Date,Number of inspectors,Number of Incidents,Objective Value,Average response time [s],Average response time [min]
0,2019-07-31,120,248,2333162.7421321664,338.68491418047574,5.644748569674595
1,2019-08-12,120,448,4027326.097486019,323.6244185479836,5.393740309133061
2,2019-08-15,120,571,5530044.6702280305,348.6543049530807,5.810905082551345
3,2019-08-16,120,576,6148954.981286962,384.3096863304351,6.405161438840585
4,2019-08-29,120,736,7839684.358409425,383.46282187872185,6.391047031312031
5,2019-09-04,120,523,4655442.614343169,320.4511168572736,5.340851947621227
6,2019-09-19,120,572,5338628.199168111,335.99757896862235,5.599959649477039
7,2019-09-20,120,745,8261185.268646863,399.1982143238753,6.653303572064588
8,2019-10-01,120,908,13234254.46079951,524.7061239964563,8.745102066607606
9,2019-10-08,120,676,7177573.400494304,382.2376367127144,6.37062727854524
10,2019-10-09,120,593,5628155.755104428,341.67556017497367,5.694592669582894
11,2019-10-22,120,572,5539528.319524448,348.64164248755264,5.810694041459211
12,2019-11-05,120,607,6580521.843996751,390.2780665302851,6.504634442171419
13,2019-11-07,120,406,3780434.3778345347,335.21093005429367,5.586848834238228
14,2019-11-14,120,591,5315794.0816992745,323.80471563650406,5.396745260608401
15,2019-11-19,120,630,6222931.749101723,355.59609994866986,5.926601665811164
16,2019-11-22,120,486,4605053.815188871,341.1150974213979,5.685251623689965
17,2019-12-06,120,713,7785647.0273389,393.1041977338014,6.55173662889669
18,2019-12-26,120,328,2995028.84935025,328.7226785872226,5.478711309787044
19,2019-12-30,120,567,6276633.959192207,398.51644185347345,6.6419406975578905
