distance,count,combine,RPE_CODE,first_point_x,first_point_y,last_point_x,last_point_y
225.0,1,0,R,117613.756,426301.388,117836.772,426330.494
209.0,1,0,R,231708.389,525975.794,231916.922,525977.286
125.0,1,0,R,199413.84100000001,563825.915,199489.53,563924.292
350.0,1,0,L,90581.131,396850.172,90742.202,397156.828
149.0,0,0,L,102810.117,471704.421,102945.0,471666.0
126.0,1,0,R,199588.96600000001,355208.291,199665.357,355307.629
20.0,2,0,R,31396.772,396473.886,31398.781,396456.769
468.0,1,0,L,180318.022,531393.771,180378.0,530930.0
189.0,1,0,R,91374.0,439262.0,91521.671,439378.174
91.0,1,0,R,171113.07,482420.0,171203.316,482428.903
107.0,1,0,R,181489.323,436391.675,181485.807,436497.075
525.0,1,0,L,181058.818,439289.277,181136.449,438769.683
132.0,1,0,R,192277.461,449975.249,192321.261,450099.837
375.0,1,0,R,33195.327,392691.315,33234.539,392319.29000000004
169.0,1,0,R,201513.646,502647.47000000003,201618.191,502779.473
376.0,2,0,L,85577.895,459025.251,85834.872,459292.877
60.0,1,0,R,97572.992,431302.741,97621.236,431338.332
133.0,1,0,L,36376.912,391201.069,36463.972,391299.198
631.0,1,0,R,195011.017,495848.543,195197.497,496451.73
178.0,0,0,R,174305.423,559446.68,174469.589,559382.279
24.0,1,0,R,196586.0,376583.0,196609.996,376583.585
100.0,1,0,R,197254.092,473841.439,197235.236,473938.25
59.0,1,0,R,181498.547,380916.604,181557.326,380913.108
35.0,1,0,R,41713.116,412780.89,41682.336,412774.068
123.0,1,0,L,202163.071,385134.80700000003,202201.85,385018.074
1268.0,2,0,R,194806.0,376683.0,196071.357,376643.94
419.0,1,0,R,245897.612,527107.092,246264.332,527306.177
256.0,1,0,R,172584.0,483234.0,172757.664,483419.578
413.0,0,0,L,182817.19,333111.497,182968.0,333493.0
733.0,1,0,#,61337.185,408222.842,61969.0,408480.0
47.0,1,0,R,204691.42,569417.757,204729.624,569389.725
11.0,1,0,R,147311.967,476987.873,147319.513,476995.342
614.0,1,0,R,229019.184,540137.54,229293.344,540686.443
91.0,1,0,L,178468.808,308752.012,178542.407,308805.385
223.0,0,0,R,199792.862,314699.985,199914.914,314512.914
477.0,1,0,#,211236.0,496874.0,211518.896,496489.419
4.0,2,0,L,190029.524,410358.636,190030.891,410354.549
551.0,0,0,R,199804.0,467715.0,200254.281,467934.014
477.0,0,0,R,212289.875,377740.759,212718.659,377532.02
476.0,1,0,L,180378.0,530930.0,180495.379,530468.844
120.0,1,0,L,120055.811,406706.391,120069.147,406588.138
390.0,1,0,R,167043.648,462078.41000000003,167127.0,462459.0
647.0,1,0,R,200465.268,440780.309,201043.657,440490.871
57.0,1,0,R,200747.335,501934.494,200795.392,501962.116
77.0,1,0,R,171556.965,367781.797,171611.786,367727.205
763.0,1,0,L,95210.189,395722.969,95939.775,395947.28
36.0,1,0,R,158986.793,379543.061,159022.214,379539.007
101.0,1,0,R,156742.345,462106.259,156784.101,462197.829
972.0,1,0,#,56905.0,407341.0,57827.0,407064.0
29.0,1,0,R,206510.1,377508.68,206525.428,377532.426
291.0,0,0,L,61614.987,426565.738,61832.0,426758.0
556.0,1,0,R,63392.0,408546.0,63945.835,408593.274
1516.0,1,0,#,107523.00200000001,528979.847,107857.027,527509.747
62.0,1,0,R,240827.003,482526.672,240883.493,482501.485
144.0,1,0,R,145310.625,452213.734,145452.064,452191.753
577.0,1,0,L,98419.5,464101.685,98181.225,464093.203
16.0,1,0,L,116289.227,488652.285,116305.0,488652.42
100.0,1,0,R,117320.317,426267.837,117419.117,426284.088
392.0,1,0,R,161028.787,415558.483,161385.9,415719.514
175.0,1,0,R,146213.12,420584.106,146284.256,420424.635
42.0,1,0,L,88872.459,394239.673,88901.036,394270.945
572.0,1,0,R,165697.982,510248.081,166023.521,510718.029
150.0,1,0,L,101050.972,430032.548,101200.191,430049.0
97.0,1,0,L,137582.264,397000.507,137641.731,397076.484
102.0,1,0,R,181820.351,486048.38,181922.629,486046.174
100.0,1,0,R,151817.064,484350.178,151769.308,484437.54000000004
15.0,1,0,R,167821.291,415917.474,167813.794,415930.951
147.0,1,0,L,167010.089,480697.175,167029.304,480569.835
91.0,1,0,R,199035.868,497158.094,199065.9,497244.351
20.0,2,0,R,31029.81,398027.509,31032.633,398010.738
48.0,1,0,#,32315.866,393831.376,32350.684,393798.635
409.0,1,0,#,104133.014,429891.28,104519.978,430014.193
419.0,1,0,R,145019.095,411929.847,145405.015,411810.948
121.0,1,0,R,167981.355,562052.841,168098.383,562020.704
103.0,1,0,L,36308.0,391085.0,36361.102,391169.03
22.0,1,0,L,140587.221,400993.509,140603.071,401008.608
345.0,1,0,R,171611.786,367727.205,171844.0,367473.0
343.0,1,0,L,201247.59,387160.344,201374.0,386842.0
246.0,1,0,L,106120.962,398534.08,106366.672,398550.718
273.0,2,0,R,122753.367,545160.728,123009.037,545249.972
36.0,1,0,L,124143.011,428378.721,124119.214,428351.177
249.0,1,0,R,116559.361,453269.129,116794.045,453351.906
46.0,1,0,L,47005.872,416867.231,47020.86,416910.579
176.0,0,0,L,88901.036,394270.945,88990.0,394170.0
19.0,2,0,R,64357.69,408648.862,64370.951,408661.725
44.0,1,0,R,118704.314,490828.447,118735.43400000001,490859.568
86.0,1,0,L,71993.824,382300.363,72077.697,382318.3
28.0,1,0,R,119550.485,410864.37,119576.972,410864.869
410.0,1,0,R,124371.664,502359.239,124302.78,502763.505
103.0,1,0,L,138119.37,398224.666,138166.529,398315.832
66.0,1,0,R,82008.249,437078.779,82073.623,437071.285
100.0,1,0,L,113704.917,394133.55,113796.0,394175.0
60.0,1,0,L,103412.274,471778.959,103469.701,471795.237
28.0,2,0,R,31009.23,398042.861,31029.81,398027.509
26.0,2,0,R,32466.742,399888.688,32474.845,399865.632
67.0,1,0,R,33227.033,392385.814,33234.539,392319.29000000004
23.0,1,0,R,142443.507,475506.499,142451.62,475485.45
12.0,1,0,L,86890.452,454517.265,86882.134,454526.454
24.0,0,0,R,87116.0,454246.0,87131.706,454227.857
104.0,1,0,R,186565.911,328637.072,186668.06,328623.624
156.0,1,0,R,186229.643,328759.977,186367.35,328689.227
356.0,0,0,R,197235.236,473938.25,197402.0,473807.0
322.0,0,0,R,197472.953,478500.767,197655.0,478389.0
267.0,1,0,R,197554.339,376732.61,197818.942,376770.463
145.0,1,0,L,201480.368,386529.724,201546.03,386401.081
115.0,1,0,R,201182.0,502217.0,201263.0,502292.0
363.0,0,0,R,229606.045,541510.642,229800.0,541787.0
744.0,1,0,R,260384.0,579112.0,261082.227,578868.264
471.0,1,0,R,262903.445,576985.262,263334.061,576800.761
113.0,1,0,R,262526.0,577425.0,262591.352,577333.153
1094.0,1,0,R,243469.024,527045.827,244561.179,527031.015
294.0,1,0,R,196609.996,376583.585,196898.18,376639.776
299.0,1,0,R,158562.228,379525.143,158859.189,379559.99
331.0,0,0,L,123616.099,480253.009,123792.0,480279.0
812.0,1,0,L,147389.0,406972.0,148034.0,407462.0
221.0,0,0,R,118735.43400000001,490859.568,118876.806,491029.493
401.0,1,0,R,141699.002,411775.187,142087.607,411686.113
63.0,1,0,R,144958.87,411912.13,145019.095,411929.847
325.0,0,0,R,153267.502,459936.653,153577.303,459948.153
231.0,0,0,R,181922.629,486046.174,182151.527,486034.043
524.0,1,0,R,192754.292,465733.167,193221.0,465498.0
28.0,1,0,R,124724.592,545715.433,124747.577,545702.958
486.0,1,0,R,154629.835,413361.23,155091.985,413501.967
30.0,0,0,R,172538.0,483207.0,172566.0,483197.0
714.0,1,0,L,145282.0,405032.0,145606.0,405666.0
481.0,1,0,L,145061.121,411985.089,145238.096,412062.348
156.0,1,0,R,182956.0,329256.0,183103.211,329213.979
124.0,1,0,R,183194.018,328961.102,183204.142,328837.05
573.0,1,0,R,142990.0,370182.0,143498.086,370447.566
402.0,1,0,R,156754.158,567525.211,157136.837,567402.729
425.0,1,0,R,130824.383,549084.725,131220.494,549189.154
469.0,1,0,L,195819.206,547310.754,196194.769,547031.397
125.0,0,0,L,135976.763,394640.343,136091.0,394691.0
249.0,1,0,R,170214.594,369207.076,170390.927,369032.015
424.0,1,0,L,151009.0,409290.0,151268.014,409595.024
316.0,1,0,R,174977.421,558842.158,175074.981,558542.261
61.0,1,0,R,239502.81,554784.099,239560.369,554802.518
115.0,1,0,R,160738.633,391495.981,160707.441,391606.63
314.0,0,0,R,207821.187,437662.312,207833.368,437498.956
539.0,1,0,R,46937.761,417312.491,46980.477,416779.944
334.0,1,0,R,157693.07,383423.526,157571.209,383144.735
405.0,0,0,L,261045.096,578915.35,261239.512,578853.993
144.0,1,0,R,83018.695,454699.439,83105.83,454585.263
227.0,1,0,R,84398.328,453736.659,84597.439,453629.87
